Node,SIR
0,0.29
1,0.44
2,0.441
3,0.406
4,0.432
5,0.154
6,0.204
7,0.44
8,0.436
9,0.439
10,0.392
11,0.248
12,0.142
13,0.159
14,0.41
15,0.415
16,0.414
17,0.154
18,0.199
19,0.224
20,0.321
21,0.428
22,0.44
23,0.291
24,0.428
25,0.441
26,0.436
27,0.349
28,0.366
29,0.439
30,0.422
31,0.243
32,0.378
33,0.366
34,0.362
35,0.356
36,0.379
37,0.327
38,0.293
39,0.418
40,0.04
41,0.282
42,0.23
43,0.441
44,0.442
45,0.441
46,0.441
47,0.441
48,0.146
49,0.115
50,0.317
51,0.433
52,0.441
53,0.437
54,0.352
55,0.353
56,0.366
57,0.44
58,0.439
59,0.102
60,0.388
61,0.441
62,0.44
63,0.442
64,0.441
65,0.441
66,0.431
67,0.421
68,0.361
69,0.427
70,0.375
71,0.426
72,0.181
73,0.159
74,0.362
75,0.442
76,0.415
77,0.301
78,0.381
79,0.395
80,0.305
81,0.393
82,0.235
83,0.132
84,0.436
85,0.224
86,0.44
87,0.295
88,0.432
89,0.317
90,0.414
91,0.417
92,0.433
93,0.426
94,0.415
95,0.441
96,0.437
97,0.438
98,0.396
99,0.334
100,0.343
101,0.439
102,0.44
103,0.422
104,0.141
105,0.334
106,0.428
107,0.442
108,0.437
109,0.441
110,0.44
111,0.331
112,0.363
113,0.379
114,0.313
115,0.044
116,0.442
117,0.44
118,0.424
119,0.159
120,0.414
121,0.434
122,0.441
123,0.441
124,0.379
125,0.432
126,0.433
127,0.439
128,0.431
129,0.442
130,0.426
131,0.44
132,0.435
133,0.433
134,0.409
135,0.44
136,0.441
137,0.297
138,0.354
139,0.436
140,0.195
141,0.295
142,0.434
143,0.349
144,0.44
145,0.088
146,0.265
147,0.358
148,0.441
149,0.419
150,0.326
151,0.393
152,0.436
153,0.423
154,0.238
155,0.375
156,0.434
157,0.44
158,0.385
159,0.437
160,0.426
161,0.309
162,0.423
163,0.437
164,0.436
165,0.432
166,0.429
167,0.441
168,0.441
169,0.438
170,0.395
171,0.3
172,0.282
173,0.26
174,0.31
175,0.442
176,0.437
177,0.44
178,0.444
179,0.053
180,0.314
181,0.406
182,0.151
183,0.146
184,0.384
185,0.172
186,0.422
187,0.441
188,0.175
189,0.405
190,0.331
191,0.107
192,0.441
193,0.251
194,0.441
195,0.433
196,0.414
197,0.367
198,0.365
199,0.287
200,0.419
201,0.151
202,0.442
203,0.44
204,0.411
205,0.177
206,0.216
207,0.349
208,0.353
209,0.415
210,0.442
211,0.212
212,0.181
213,0.221
214,0.264
215,0.297
216,0.423
217,0.163
218,0.256
219,0.248
220,0.427
221,0.225
222,0.401
223,0.394
224,0.397
225,0.29
226,0.401
227,0.413
228,0.38
229,0.393
230,0.203
231,0.224
232,0.418
233,0.411
234,0.155
235,0.335
236,0.439
237,0.442
238,0.417
239,0.357
240,0.376
241,0.379
242,0.331
243,0.439
244,0.439
245,0.428
246,0.437
247,0.337
248,0.353
249,0.366
250,0.441
251,0.437
252,0.436
253,0.436
254,0.441
255,0.375
256,0.416
257,0.436
258,0.424
259,0.441
260,0.442
261,0.437
262,0.442
263,0.374
264,0.37
265,0.168
266,0.257
267,0.318
268,0.08
269,0.422
270,0.092
271,0.133
272,0.432
273,0.442
274,0.442
275,0.442
276,0.393
277,0.439
278,0.435
279,0.215
280,0.414
281,0.252
282,0.268
283,0.27
284,0.278
285,0.266
286,0.3
287,0.283
288,0.269
289,0.265
290,0.413
291,0.396
292,0.406
293,0.189
294,0.423
295,0.442
296,0.442
297,0.436
298,0.433
299,0.427
300,0.357
301,0.262
302,0.44
303,0.172
304,0.357
305,0.226
306,0.274
307,0.306
308,0.274
309,0.283
310,0.274
311,0.168
312,0.439
313,0.406
314,0.141
315,0.437
316,0.16
317,0.427
318,0.356
319,0.403
320,0.411
321,0.424
322,0.417
323,0.42
324,0.433
325,0.292
326,0.379
327,0.326
328,0.3
329,0.427
330,0.439
331,0.269
332,0.402
333,0.151
334,0.371
335,0.308
336,0.264
337,0.287
338,0.31
339,0.283
340,0.283
341,0.256
342,0.306
343,0.37
344,0.426
345,0.441
346,0.44
347,0.439
348,0.441
349,0.207
350,0.44
351,0.44
352,0.204
353,0.335
354,0.15
355,0.441
356,0.371
357,0.437
358,0.437
359,0.427
360,0.279
361,0.332
362,0.279
363,0.154
364,0.154
365,0.164
366,0.118
367,0.357
368,0.158
369,0.216
370,0.427
371,0.319
372,0.438
373,0.428
374,0.441
375,0.439
376,0.432
377,0.435
378,0.433
379,0.435
380,0.391
381,0.402
382,0.442
383,0.431
384,0.441
385,0.301
386,0.428
387,0.388
388,0.279
389,0.418
390,0.4
391,0.39
392,0.0
393,0.0
394,0.327
395,0.296
396,0.401
397,0.19
398,0.119
399,0.295
400,0.326
401,0.388
402,0.349
403,0.313
404,0.199
405,0.204
406,0.128
407,0.242
408,0.04
409,0.317
410,0.257
411,0.067
412,0.137
413,0.204
414,0.44
415,0.142
416,0.29
417,0.424
418,0.428
419,0.436
420,0.325
421,0.376
422,0.309
423,0.133
424,0.199
425,0.253
426,0.27
427,0.251
428,0.343
429,0.331
430,0.376
431,0.284
432,0.26
433,0.3
434,0.269
435,0.273
436,0.344
437,0.442
438,0.439
439,0.107
440,0.384
441,0.199
442,0.344
443,0.279
444,0.365
445,0.44
446,0.336
447,0.155
448,0.305
449,0.022
450,0.155
451,0.348
452,0.384
453,0.418
454,0.106
455,0.442
456,0.341
457,0.441
458,0.407
459,0.44
460,0.33
461,0.331
462,0.16
463,0.426
464,0.441
465,0.441
466,0.44
467,0.379
468,0.38
469,0.396
470,0.422
471,0.406
