Node,SIR,Infected_sum
7,0.07333,0
0,0.079482,0
1,0.076891,0
2,0.035194,0
3,0.007581,0
4,0.082538,0
5,0.071134,0
6,0.079547,0
8,0.080653,0
9,0.067748,0
10,0.054942,0
11,0.068743,0
12,0.061142,0
13,0.074637,0
14,0.050068,0
15,0.055823,0
16,0.072813,0
17,0.046768,0
18,0.035216,0
19,0.069868,0
20,0.066894,0
21,0.044464,0
22,0.059507,0
23,0.048119,0
24,0.048378,0
25,0.065151,0
26,0.041822,0
27,0.03711,0
28,0.035828,0
29,0.038047,0
30,0.052776,0
31,0.047691,0
32,0.025091,0
33,0.048464,0
34,0.044924,0
35,0.030142,0
36,0.040437,0
37,0.036662,0
38,0.034256,0
39,0.035333,0
40,0.040778,0
41,0.043692,0
42,0.053404,0
43,0.049448,0
44,0.039601,0
45,0.042011,0
46,0.040014,0
47,0.025407,0
48,0.042397,0
49,0.049776,0
50,0.059505,0
51,0.041891,0
52,0.044052,0
53,0.031269,0
54,0.042039,0
55,0.041654,0
56,0.027078,0
57,0.031145,0
58,0.030006,0
59,0.03485,0
60,0.038402,0
61,0.031343,0
62,0.029551,0
63,0.037101,0
64,0.02791,0
65,0.041164,0
66,0.027886,0
67,0.029471,0
68,0.046966,0
69,0.039568,0
70,0.03737,0
71,0.025882,0
72,0.030023,0
73,0.026098,0
74,0.019648,0
75,0.043801,0
76,0.040252,0
77,0.038764,0
78,0.031544,0
79,0.036495,0
80,0.030728,0
81,0.021729,0
82,0.018059,0
83,0.02584,0
84,0.026028,0
85,0.031273,0
86,0.027053,0
87,0.029885,0
88,0.019804,0
89,0.027112,0
90,0.018821,0
91,0.028695,0
92,0.031065,0
93,0.02271,0
94,0.027172,0
95,0.032299,0
96,0.045193,0
97,0.031621,0
98,0.034669,0
99,0.024955,0
100,0.037609,0
101,0.021279,0
102,0.033758,0
103,0.0329,0
104,0.022905,0
105,0.04215,0
106,0.023786,0
107,0.025054,0
108,0.035292,0
109,0.035458,0
110,0.024289,0
111,0.030232,0
112,0.029401,0
113,0.025173,0
114,0.027976,0
115,0.024877,0
116,0.01863,0
117,0.017498,0
118,0.014878,0
119,0.02237,0
120,0.029546,0
121,0.026019,0
122,0.021413,0
123,0.022805,0
124,0.028338,0
125,0.021052,0
126,0.029043,0
127,0.024589,0
128,0.021567,0
129,0.029099,0
130,0.031424,0
131,0.028194,0
132,0.022783,0
133,0.021888,0
134,0.026908,0
135,0.015755,0
136,0.031773,0
137,0.023857,0
138,0.016514,0
139,0.023344,0
140,0.027398,0
141,0.017795,0
142,0.031466,0
143,0.015695,0
144,0.027445,0
145,0.018564,0
146,0.020807,0
147,0.02252,0
148,0.026513,0
149,0.03036,0
150,0.026475,0
151,0.029933,0
152,0.036902,0
153,0.027654,0
154,0.026686,0
155,0.023613,0
156,0.024638,0
157,0.028073,0
158,0.022863,0
159,0.027119,0
160,0.02387,0
161,0.023188,0
162,0.026623,0
163,0.025133,0
164,0.026338,0
165,0.019252,0
166,0.019367,0
167,0.027772,0
168,0.021573,0
169,0.016752,0
170,0.030082,0
171,0.019087,0
172,0.017764,0
173,0.037192,0
174,0.019356,0
175,0.021815,0
176,0.027935,0
177,0.017847,0
178,0.020405,0
179,0.024877,0
180,0.023503,0
181,0.023528,0
182,0.019232,0
183,0.026072,0
184,0.020279,0
185,0.021045,0
186,0.015916,0
187,0.018809,0
188,0.01821,0
189,0.014736,0
190,0.024814,0
191,0.017773,0
192,0.020963,0
193,0.022699,0
194,0.012443,0
195,0.013383,0
196,0.015305,0
197,0.024949,0
198,0.020081,0
199,0.017376,0
200,0.018628,0
201,0.016463,0
202,0.020702,0
203,0.022711,0
204,0.013465,0
205,0.021268,0
206,0.016606,0
207,0.017819,0
208,0.024195,0
209,0.020593,0
210,0.031273,0
211,0.020425,0
212,0.025367,0
213,0.016453,0
214,0.025246,0
215,0.014937,0
216,0.014491,0
217,0.025027,0
218,0.010776,0
219,0.019605,0
220,0.025471,0
221,0.023777,0
222,0.022304,0
223,0.022572,0
224,0.028434,0
225,0.017667,0
226,0.018964,0
227,0.01506,0
228,0.020724,0
229,0.020109,0
230,0.015359,0
231,0.019416,0
232,0.024449,0
233,0.015397,0
234,0.019731,0
235,0.018473,0
236,0.024502,0
237,0.020669,0
238,0.019318,0
239,0.015182,0
240,0.022519,0
241,0.016477,0
242,0.024816,0
243,0.018917,0
244,0.017157,0
245,0.021599,0
246,0.021438,0
247,0.017499,0
248,0.020157,0
249,0.019399,0
250,0.023488,0
251,0.016743,0
252,0.016316,0
253,0.02126,0
254,0.016246,0
255,0.014327,0
256,0.024322,0
257,0.020074,0
258,0.014427,0
259,0.018647,0
260,0.014819,0
261,0.018529,0
262,0.021297,0
263,0.020134,0
264,0.028578,0
265,0.01522,0
266,0.018781,0
267,0.017742,0
268,0.021067,0
269,0.015187,0
270,0.017829,0
271,0.027894,0
272,0.017804,0
273,0.015768,0
274,0.01528,0
275,0.016272,0
276,0.023797,0
277,0.017121,0
278,0.023978,0
279,0.019968,0
280,0.021062,0
281,0.013186,0
282,0.024399,0
283,0.012777,0
284,0.011636,0
285,0.024267,0
286,0.013705,0
287,0.014837,0
288,0.014005,0
289,0.022595,0
290,0.023373,0
291,0.022502,0
292,0.018015,0
293,0.021545,0
294,0.017523,0
295,0.0203,0
296,0.015639,0
297,0.016156,0
298,0.018678,0
299,0.020692,0
300,0.018138,0
301,0.020297,0
302,0.013423,0
303,0.016402,0
304,0.015288,0
305,0.023172,0
306,0.011361,0
307,0.01568,0
