Node,SIR
0,0.033
1,0.217
2,0.152
3,0.295
4,0.014
5,0.059
6,0.255
7,0.144
8,0.004
9,0.121
10,0.022
11,0.135
12,0.088
13,0.365
14,0.133
15,0.179
16,0.366
17,0.228
18,0.345
19,0.019
20,0.158
21,0.03
22,0.048
23,0.14
24,0.011
25,0.059
26,0.0
27,0.202
28,0.162
29,0.243
30,0.235
31,0.14
32,0.291
33,0.338
34,0.119
35,0.246
36,0.022
37,0.029
38,0.191
39,0.114
40,0.183
41,0.183
42,0.102
43,0.052
44,0.221
45,0.232
46,0.037
47,0.365
48,0.059
49,0.326
50,0.008
51,0.0
52,0.104
53,0.07
54,0.363
55,0.029
56,0.093
57,0.037
58,0.274
59,0.14
60,0.015
61,0.04
62,0.015
63,0.038
64,0.08
65,0.0
66,0.0
67,0.137
68,0.228
69,0.066
70,0.209
71,0.091
72,0.049
73,0.349
74,0.007
75,0.314
76,0.015
77,0.099
78,0.283
79,0.111
80,0.214
81,0.258
82,0.047
83,0.048
84,0.037
85,0.21
86,0.055
87,0.041
88,0.044
89,0.055
90,0.037
91,0.037
92,0.062
93,0.011
94,0.048
95,0.349
96,0.055
97,0.249
98,0.294
99,0.041
100,0.007
101,0.278
102,0.253
103,0.283
104,0.343
105,0.114
106,0.344
107,0.158
108,0.184
109,0.14
110,0.369
111,0.03
112,0.366
113,0.367
114,0.143
115,0.037
116,0.22
117,0.004
118,0.066
119,0.217
120,0.195
121,0.156
122,0.229
123,0.115
124,0.093
125,0.07
126,0.139
127,0.073
128,0.077
129,0.026
130,0.21
131,0.363
132,0.041
133,0.09
134,0.034
135,0.287
136,0.364
137,0.044
138,0.158
139,0.275
140,0.283
141,0.14
142,0.044
143,0.111
144,0.037
145,0.084
146,0.093
147,0.066
148,0.107
149,0.365
150,0.033
151,0.257
152,0.168
153,0.066
154,0.022
155,0.037
156,0.011
157,0.022
158,0.056
159,0.29
160,0.1
161,0.238
162,0.062
163,0.0
164,0.216
165,0.07
166,0.345
167,0.299
168,0.14
169,0.063
170,0.044
171,0.133
172,0.011
173,0.026
174,0.254
175,0.172
176,0.026
177,0.099
178,0.334
179,0.155
180,0.063
181,0.066
182,0.029
183,0.233
184,0.353
185,0.056
186,0.067
187,0.367
188,0.227
189,0.055
190,0.019
191,0.092
192,0.221
193,0.007
