Node,SIR,Infected_sum
1,0.00024,0
2,0.00028,0
3,0.00032,0
4,0.00037,0
5,0.00039,0
6,0.00027,0
7,0.00029,0
8,0.00029,0
9,0.00029,0
10,0.0003,0
11,0.00027,0
12,0.00026,0
13,0.00033,0
14,0.0003,0
15,0.00032,0
16,0.0003,0
17,0.00034,0
18,0.00029,0
19,0.00031,0
20,0.00033,0
21,0.00027,0
22,0.00027,0
23,0.0002,0
24,0.00033,0
25,0.00031,0
26,0.00031,0
27,0.00026,0
28,0.00027,0
29,0.0003,0
30,0.0003,0
31,0.00026,0
32,0.00035,0
33,0.00024,0
34,0.00034,0
35,0.00033,0
36,0.00031,0
37,0.00028,0
38,0.00028,0
39,0.00032,0
40,0.00036,0
41,0.00027,0
42,0.00032,0
43,0.0001,0
44,0.00013,0
45,0.00015,0
46,0.00014,0
47,0.00013,0
48,0.00016,0
49,0.00016,0
50,0.00016,0
51,0.00019,0
52,0.00018,0
53,0.00014,0
54,0.00015,0
55,0.00013,0
56,0.00014,0
57,0.00016,0
58,0.00018,0
59,0.00013,0
60,0.00015,0
61,0.00016,0
62,0.00016,0
63,0.00014,0
64,0.00014,0
65,0.00014,0
66,0.00015,0
67,0.00016,0
68,0.00017,0
69,0.00014,0
70,0.0001,0
71,0.0001,0
72,0.00012,0
73,0.00012,0
74,0.00014,0
75,0.00014,0
76,0.00012,0
77,0.00013,0
78,0.00013,0
79,0.00011,0
80,0.00029,0
81,0.0003,0
82,0.00033,0
83,0.00033,0
84,0.00029,0
85,0.00029,0
86,0.00031,0
87,0.00029,0
88,0.0003,0
89,0.00035,0
90,0.00028,0
91,0.00035,0
92,0.00025,0
93,0.00031,0
94,0.00031,0
95,0.00031,0
96,0.00021,0
97,0.00024,0
98,0.00023,0
99,0.0003,0
100,0.00022,0
101,0.00024,0
102,0.00027,0
103,0.00031,0
104,0.00016,0
105,0.00016,0
106,0.00014,0
107,0.00016,0
108,0.00013,0
109,0.00014,0
110,0.00017,0
111,0.00018,0
112,0.00017,0
113,0.00016,0
114,0.00016,0
115,0.0003,0
116,0.0003,0
117,0.00032,0
118,0.0004,0
119,0.00039,0
120,0.00042,0
121,0.00041,0
122,0.00055,0
123,0.00051,0
124,0.00051,0
125,0.00051,0
126,0.00052,0
127,0.00054,0
128,0.00057,0
129,0.00048,0
130,0.00049,0
131,0.00054,0
132,0.0005,0
133,0.00036,0
134,0.00045,0
135,0.00043,0
136,0.00045,0
137,0.00043,0
138,0.00055,0
139,0.00051,0
140,0.00056,0
141,0.00056,0
142,0.00056,0
143,0.00054,0
144,0.00057,0
145,0.00065,0
146,0.00063,0
147,0.0006,0
148,0.00067,0
149,0.00059,0
150,0.00062,0
151,0.00066,0
152,0.00057,0
153,0.00058,0
154,0.0006,0
155,0.00058,0
156,0.00054,0
157,0.00057,0
158,0.00058,0
159,0.00056,0
160,0.00056,0
161,0.00047,0
162,0.00045,0
163,0.00049,0
164,0.0005,0
165,0.00057,0
166,0.00053,0
167,0.00053,0
168,0.00063,0
169,0.00064,0
170,0.00066,0
171,0.00061,0
172,0.00064,0
173,0.00065,0
174,0.00064,0
175,0.00057,0
176,0.00056,0
177,0.00059,0
178,0.0005,0
179,0.00042,0
180,0.00049,0
181,0.0005,0
182,0.00047,0
183,0.00052,0
184,0.00043,0
185,0.00048,0
186,0.00057,0
