Node,SIR,Infected_sum
0,0.000424,0
1,0.002159,0
2,0.000825,0
3,0.047737,0
4,0.000303,0
5,0.011593,0
6,0.001861,0
7,0.000369,0
8,0.000292,0
9,0.01237,0
10,0.002593,0
11,0.04627,0
12,0.000302,0
13,0.000291,0
14,0.000359,0
15,0.000818,0
16,0.001197,0
17,0.00027,0
18,0.000438,0
19,0.000342,0
20,0.001948,0
21,0.000299,0
22,0.000369,0
23,0.01355,0
24,0.009837,0
25,0.000409,0
26,0.000571,0
27,0.000342,0
28,0.001186,0
29,0.000935,0
30,0.024823,0
31,0.000388,0
32,0.000362,0
33,0.000426,0
34,0.000392,0
35,0.001228,0
36,0.000635,0
37,0.002357,0
38,0.000274,0
39,0.000966,0
40,0.000456,0
41,0.000307,0
42,0.005806,0
43,0.002163,0
44,0.000344,0
45,0.000295,0
46,0.046609,0
47,0.004493,0
48,0.047483,0
49,0.000375,0
50,0.000535,0
51,0.000729,0
52,0.000433,0
53,0.001629,0
54,0.000797,0
55,0.001628,0
56,0.000317,0
57,0.000371,0
58,0.00042,0
59,0.000528,0
60,0.000307,0
61,0.000338,0
62,0.000985,0
63,0.001814,0
64,0.007049,0
65,0.0075,0
66,0.002071,0
67,0.000494,0
68,0.000291,0
69,0.000278,0
70,0.000414,0
71,0.00033,0
72,0.047961,0
73,0.000487,0
74,0.000514,0
75,0.000888,0
76,0.038926,0
77,0.004724,0
78,0.004344,0
79,0.000371,0
80,0.014765,0
81,0.00057,0
82,0.001862,0
83,0.001051,0
84,0.000336,0
85,0.000507,0
86,0.000402,0
87,0.000281,0
88,0.000467,0
89,0.000767,0
90,0.000342,0
91,0.002213,0
92,0.035167,0
93,0.002807,0
94,0.000792,0
95,0.000629,0
96,0.000765,0
97,0.002017,0
98,0.002248,0
99,0.000552,0
100,0.000279,0
101,0.004955,0
102,0.006573,0
103,0.002298,0
104,0.030139,0
105,0.001327,0
106,0.000663,0
107,0.000319,0
108,0.001985,0
109,0.00114,0
110,0.000334,0
111,0.001631,0
112,0.001989,0
113,0.000674,0
114,0.000293,0
115,0.000355,0
116,0.000323,0
117,0.00186,0
118,0.000277,0
119,0.000277,0
120,0.000376,0
121,0.0003,0
122,0.003422,0
123,0.004008,0
124,0.000328,0
125,0.000794,0
126,0.046739,0
127,0.00082,0
128,0.000309,0
129,0.000997,0
130,0.01074,0
