Node,SIR,Infected_sum
0,0.35525,0
1,0.35377,0
2,0.29499,0
3,0.31664,0
4,0.36555,0
5,0.22523,0
6,0.30827,0
7,0.22084,0
8,0.26408,0
9,0.37293,0
10,0.28577,0
11,0.31222,0
12,0.27721,0
13,0.31182,0
14,0.33784,0
15,0.20063,0
16,0.2798,0
17,0.30791,0
18,0.33241,0
19,0.32551,0
20,0.28552,0
21,0.22454,0
22,0.19114,0
23,0.30851,0
24,0.03959,0
25,0.36369,0
26,0.39361,0
27,0.2172,0
28,0.04756,0
29,0.10356,0
30,0.33665,0
31,0.33993,0
32,0.06532,0
33,0.34188,0
34,0.24248,0
35,0.2982,0
36,0.16042,0
37,0.14757,0
38,0.35185,0
39,0.32461,0
40,0.19364,0
41,0.17784,0
42,0.15165,0
43,0.03472,0
44,0.36786,0
45,0.26469,0
46,0.37679,0
47,0.07833,0
48,0.2824,0
49,0.01758,0
50,0.12104,0
51,0.12113,0
52,0.32199,0
53,0.24293,0
54,0.37699,0
55,0.1769,0
56,0.03455,0
57,0.2825,0
58,0.40698,0
59,0.06992,0
60,0.09542,0
61,0.19443,0
62,0.29097,0
63,0.15165,0
64,0.03032,0
65,0.34617,0
66,0.35557,0
67,0.26468,0
68,0.09551,0
69,0.24201,0
70,0.14327,0
71,0.35882,0
72,0.10416,0
73,0.32544,0
74,0.26906,0
75,0.38799,0
76,0.29015,0
77,0.2952,0
78,0.2119,0
79,0.30362,0
80,0.32167,0
81,0.34243,0
82,0.04372,0
83,0.37198,0
84,0.34801,0
85,0.23837,0
86,0.22557,0
87,0.38181,0
88,0.33718,0
89,0.40665,0
90,0.41637,0
91,0.3467,0
92,0.41936,0
93,0.39917,0
94,0.39847,0
95,0.07401,0
96,0.22505,0
97,0.36851,0
98,0.28557,0
99,0.43322,0
100,0.14738,0
101,0.31211,0
102,0.29449,0
103,0.18755,0
104,0.03897,0
105,0.22568,0
106,0.42544,0
107,0.3381,0
108,0.20384,0
109,0.32051,0
110,0.37643,0
111,0.1003,0
112,0.29485,0
113,0.24994,0
114,0.28624,0
115,0.33884,0
116,0.08719,0
117,0.28531,0
118,0.41668,0
119,0.26436,0
120,0.40327,0
121,0.37579,0
122,0.20331,0
123,0.35098,0
124,0.35103,0
125,0.37666,0
126,0.23917,0
127,0.43272,0
128,0.42917,0
129,0.42805,0
130,0.42994,0
131,0.43504,0
132,0.42401,0
133,0.42828,0
134,0.31644,0
135,0.0522,0
136,0.35935,0
137,0.39428,0
138,0.18196,0
139,0.06978,0
140,0.30216,0
141,0.3641,0
142,0.16372,0
143,0.1823,0
