Node,SIR
0,0.35
1,0.342
2,0.288
3,0.365
4,0.362
5,0.209
6,0.275
7,0.23
8,0.31
9,0.408
10,0.32
11,0.337
12,0.266
13,0.346
14,0.333
15,0.141
16,0.297
17,0.346
18,0.327
19,0.323
20,0.32
21,0.24
22,0.213
23,0.289
24,0.062
25,0.373
26,0.358
27,0.235
28,0.067
29,0.089
30,0.372
31,0.306
32,0.054
33,0.332
34,0.275
35,0.292
36,0.173
37,0.203
38,0.345
39,0.319
40,0.199
41,0.177
42,0.178
43,0.058
44,0.342
45,0.239
46,0.4
47,0.102
48,0.262
49,0.027
50,0.147
51,0.119
52,0.35
53,0.218
54,0.377
55,0.191
56,0.031
57,0.199
58,0.412
59,0.111
60,0.071
61,0.213
62,0.253
63,0.134
64,0.058
65,0.363
66,0.376
67,0.253
68,0.084
69,0.289
70,0.115
71,0.385
72,0.133
73,0.341
74,0.297
75,0.394
76,0.306
77,0.328
78,0.204
79,0.288
80,0.373
81,0.377
82,0.049
83,0.407
84,0.359
85,0.248
86,0.263
87,0.395
88,0.302
89,0.369
90,0.439
91,0.346
92,0.425
93,0.421
94,0.411
95,0.124
96,0.266
97,0.385
98,0.275
99,0.434
100,0.177
101,0.337
102,0.324
103,0.217
104,0.067
105,0.257
106,0.444
107,0.336
108,0.226
109,0.355
110,0.365
111,0.111
112,0.271
113,0.221
114,0.292
115,0.341
116,0.111
117,0.284
118,0.412
119,0.301
120,0.418
121,0.435
122,0.195
123,0.363
124,0.377
125,0.403
126,0.248
127,0.443
128,0.417
129,0.439
130,0.431
131,0.438
132,0.439
133,0.438
134,0.364
135,0.066
136,0.381
137,0.403
138,0.217
139,0.128
140,0.289
141,0.367
142,0.177
143,0.231
144,0.267
145,0.19
146,0.346
147,0.444
148,0.425
149,0.412
150,0.389
151,0.092
152,0.164
153,0.231
154,0.341
155,0.2
156,0.036
157,0.364
158,0.385
159,0.311
160,0.115
161,0.43
162,0.398
163,0.062
164,0.248
165,0.438
166,0.319
167,0.43
168,0.439
169,0.261
170,0.426
171,0.444
172,0.209
173,0.173
174,0.407
175,0.359
176,0.411
177,0.239
178,0.368
179,0.067
180,0.384
181,0.288
182,0.315
183,0.283
184,0.338
185,0.417
186,0.302
187,0.432
188,0.063
189,0.346
190,0.429
191,0.186
192,0.413
193,0.199
194,0.328
195,0.351
196,0.142
197,0.088
198,0.382
199,0.314
200,0.426
201,0.341
202,0.23
203,0.187
204,0.262
205,0.408
206,0.367
207,0.275
208,0.19
209,0.191
210,0.054
211,0.146
212,0.04
213,0.412
214,0.119
215,0.084
216,0.244
217,0.377
218,0.24
219,0.151
220,0.431
221,0.311
222,0.19
223,0.431
224,0.288
225,0.278
226,0.231
227,0.381
228,0.23
229,0.35
230,0.248
231,0.19
232,0.183
233,0.256
234,0.356
235,0.301
236,0.341
237,0.411
238,0.404
239,0.39
240,0.359
241,0.376
242,0.349
243,0.297
244,0.351
245,0.288
246,0.23
247,0.332
248,0.36
249,0.275
250,0.236
251,0.347
252,0.417
253,0.309
254,0.337
255,0.338
256,0.355
257,0.195
258,0.226
259,0.053
260,0.421
261,0.443
262,0.39
263,0.444
264,0.346
265,0.408
266,0.423
267,0.427
268,0.341
269,0.093
270,0.342
271,0.089
272,0.404
273,0.345
274,0.076
275,0.391
276,0.266
277,0.386
278,0.084
279,0.195
280,0.315
281,0.359
282,0.328
283,0.04
284,0.187
285,0.364
286,0.364
287,0.279
288,0.39
289,0.328
290,0.402
291,0.19
292,0.359
293,0.298
294,0.084
295,0.337
296,0.416
297,0.031
298,0.115
299,0.204
300,0.222
301,0.327
302,0.297
303,0.253
304,0.39
305,0.315
306,0.124
307,0.244
308,0.403
309,0.098
310,0.222
311,0.376
312,0.031
313,0.195
314,0.417
315,0.385
316,0.359
317,0.359
318,0.298
319,0.377
320,0.239
321,0.097
322,0.293
323,0.306
324,0.168
325,0.368
326,0.315
327,0.367
328,0.399
329,0.426
330,0.408
331,0.293
332,0.279
333,0.176
334,0.085
335,0.347
336,0.04
337,0.146
338,0.133
339,0.182
340,0.385
341,0.044
342,0.359
343,0.42
344,0.435
345,0.444
346,0.426
347,0.43
348,0.444
349,0.354
350,0.248
351,0.169
352,0.257
353,0.075
354,0.406
355,0.296
356,0.395
357,0.04
358,0.288
359,0.138
360,0.354
361,0.222
362,0.066
363,0.138
364,0.142
365,0.169
366,0.044
367,0.292
368,0.062
369,0.283
370,0.089
371,0.257
372,0.137
373,0.181
374,0.368
375,0.398
376,0.221
377,0.075
378,0.333
379,0.324
380,0.106
381,0.386
382,0.395
383,0.137
384,0.133
385,0.394
386,0.31
387,0.349
388,0.337
389,0.146
390,0.408
391,0.231
392,0.258
393,0.266
394,0.195
395,0.226
396,0.186
397,0.424
398,0.057
399,0.337
400,0.231
401,0.195
402,0.332
403,0.208
404,0.093
405,0.443
406,0.058
407,0.444
408,0.443
409,0.338
410,0.437
411,0.404
412,0.442
413,0.35
414,0.044
415,0.111
416,0.165
417,0.035
418,0.097
419,0.111
420,0.106
421,0.354
422,0.231
423,0.31
424,0.38
425,0.058
426,0.275
427,0.328
428,0.356
429,0.411
430,0.381
431,0.257
432,0.272
433,0.393
434,0.062
435,0.147
436,0.266
437,0.364
438,0.334
439,0.288
440,0.32
441,0.098
442,0.249
443,0.378
444,0.291
445,0.302
446,0.284
447,0.425
448,0.342
449,0.146
450,0.133
451,0.173
452,0.084
453,0.443
454,0.354
455,0.257
456,0.253
457,0.085
458,0.329
459,0.27
460,0.088
461,0.204
462,0.071
463,0.382
464,0.288
465,0.058
466,0.324
467,0.372
468,0.345
469,0.294
470,0.306
471,0.045
472,0.076
473,0.417
474,0.271
475,0.368
476,0.35
477,0.204
478,0.284
479,0.217
480,0.35
481,0.383
482,0.12
483,0.337
484,0.275
485,0.251
486,0.413
487,0.404
488,0.186
489,0.32
490,0.04
491,0.284
492,0.071
493,0.368
494,0.284
495,0.444
496,0.32
497,0.31
498,0.36
499,0.297
500,0.262
501,0.186
502,0.217
503,0.226
504,0.235
505,0.389
506,0.382
507,0.341
508,0.16
509,0.097
510,0.346
511,0.235
512,0.389
513,0.133
514,0.061
515,0.399
516,0.369
517,0.333
518,0.156
519,0.31
520,0.217
521,0.28
522,0.138
523,0.129
524,0.394
525,0.058
526,0.315
527,0.293
528,0.262
529,0.075
530,0.098
531,0.297
532,0.155
533,0.34
534,0.359
535,0.302
536,0.301
537,0.283
538,0.425
539,0.199
540,0.267
541,0.071
542,0.311
543,0.186
544,0.333
545,0.35
546,0.316
547,0.412
548,0.288
549,0.274
550,0.262
551,0.252
552,0.076
553,0.08
554,0.204
555,0.022
556,0.319
557,0.111
558,0.372
559,0.084
560,0.416
561,0.363
562,0.391
563,0.293
564,0.376
565,0.439
566,0.444
567,0.43
568,0.442
569,0.408
570,0.397
571,0.289
572,0.284
573,0.094
574,0.364
575,0.229
576,0.404
577,0.381
578,0.199
579,0.084
580,0.369
581,0.373
582,0.373
583,0.287
584,0.102
585,0.289
586,0.327
587,0.275
588,0.186
589,0.187
590,0.373
591,0.337
592,0.275
593,0.333
594,0.199
595,0.35
596,0.42
597,0.297
598,0.244
599,0.147
600,0.298
601,0.377
602,0.293
603,0.34
604,0.324
605,0.328
606,0.226
607,0.071
608,0.288
609,0.12
610,0.395
611,0.323
612,0.11
613,0.368
614,0.403
615,0.431
616,0.258
617,0.354
618,0.111
619,0.151
620,0.36
621,0.403
622,0.181
623,0.213
624,0.341
625,0.191
626,0.284
627,0.257
628,0.421
629,0.177
630,0.421
631,0.385
632,0.355
633,0.403
634,0.231
635,0.19
636,0.342
637,0.412
638,0.406
639,0.404
640,0.372
641,0.173
642,0.408
643,0.327
644,0.367
645,0.116
646,0.2
647,0.377
648,0.435
649,0.418
650,0.385
651,0.076
652,0.248
653,0.297
654,0.296
655,0.036
656,0.053
657,0.368
658,0.235
659,0.194
660,0.358
661,0.324
662,0.027
663,0.208
664,0.378
665,0.248
666,0.354
667,0.084
668,0.28
669,0.431
670,0.231
671,0.35
672,0.291
673,0.235
674,0.376
675,0.367
676,0.168
677,0.399
678,0.31
679,0.328
680,0.297
681,0.111
682,0.04
683,0.349
684,0.327
685,0.338
686,0.324
687,0.301
688,0.354
689,0.115
690,0.147
691,0.341
692,0.405
693,0.437
694,0.416
695,0.429
696,0.442
697,0.429
698,0.439
699,0.444
700,0.235
701,0.186
702,0.382
703,0.346
704,0.274
705,0.368
706,0.31
707,0.106
708,0.254
709,0.363
710,0.334
711,0.249
712,0.107
713,0.311
714,0.42
715,0.084
716,0.283
717,0.35
718,0.218
719,0.347
