Node,SIR
1,0.002
2,0.002
3,0.002
4,0.002
5,0.003
6,0.003
7,0.003
8,0.003
9,0.003
10,0.005
11,0.004
12,0.005
13,0.004
14,0.005
15,0.004
16,0.004
17,0.004
18,0.005
19,0.005
20,0.005
21,0.005
22,0.005
23,0.005
24,0.005
25,0.005
26,0.002
27,0.002
28,0.002
29,0.002
30,0.002
31,0.002
32,0.004
33,0.005
34,0.004
35,0.005
36,0.005
37,0.004
38,0.002
39,0.002
40,0.002
41,0.224
42,0.198
43,0.199
44,0.23
45,0.228
46,0.229
47,0.226
48,0.227
49,0.228
50,0.229
51,0.226
52,0.227
53,0.227
54,0.226
55,0.23
56,0.228
57,0.229
58,0.218
59,0.227
60,0.227
61,0.224
62,0.179
63,0.155
64,0.212
65,0.215
66,0.223
67,0.226
68,0.226
69,0.23
70,0.224
71,0.224
72,0.215
73,0.231
74,0.227
75,0.225
76,0.229
77,0.229
78,0.211
79,0.228
80,0.224
81,0.228
82,0.228
83,0.226
84,0.229
85,0.228
86,0.214
87,0.229
88,0.228
89,0.23
90,0.201
91,0.226
92,0.004
93,0.004
94,0.004
95,0.004
96,0.004
97,0.004
98,0.001
99,0.001
100,0.164
101,0.177
102,0.206
103,0.178
104,0.164
105,0.168
106,0.161
107,0.228
108,0.204
109,0.197
110,0.192
111,0.184
112,0.196
113,0.204
114,0.201
115,0.202
116,0.159
117,0.21
118,0.209
119,0.187
120,0.198
121,0.22
122,0.224
123,0.226
124,0.231
125,0.226
126,0.197
127,0.195
128,0.195
129,0.184
130,0.224
131,0.226
132,0.223
133,0.22
134,0.144
135,0.211
136,0.225
137,0.226
138,0.199
139,0.21
140,0.133
141,0.002
142,0.002
143,0.002
144,0.021
145,0.021
146,0.02
147,0.02
148,0.02
149,0.02
150,0.02
151,0.02
152,0.02
153,0.02
154,0.02
155,0.021
156,0.021
157,0.021
158,0.02
159,0.021
160,0.021
161,0.02
162,0.021
163,0.02
164,0.019
165,0.02
166,0.02
167,0.019
168,0.002
169,0.002
170,0.002
171,0.227
172,0.217
173,0.227
174,0.227
175,0.23
176,0.215
177,0.228
178,0.218
179,0.228
180,0.227
181,0.229
182,0.207
183,0.199
184,0.223
185,0.228
186,0.226
187,0.173
188,0.203
189,0.194
190,0.181
191,0.135
192,0.202
193,0.177
194,0.028
195,0.03
196,0.028
197,0.031
198,0.034
199,0.031
200,0.029
201,0.199
202,0.214
203,0.208
204,0.226
205,0.225
206,0.225
207,0.224
208,0.224
209,0.223
210,0.225
211,0.197
212,0.212
213,0.224
214,0.15
215,0.194
216,0.21
217,0.188
218,0.147
219,0.195
220,0.19
221,0.208
222,0.171
223,0.204
224,0.216
225,0.207
226,0.004
227,0.004
228,0.003
229,0.004
230,0.003
231,0.002
232,0.002
233,0.002
234,0.003
235,0.004
236,0.004
237,0.004
238,0.003
239,0.002
240,0.002
241,0.002
242,0.227
243,0.224
244,0.228
245,0.223
246,0.228
247,0.231
248,0.229
249,0.23
250,0.195
251,0.213
252,0.212
253,0.205
254,0.176
255,0.189
256,0.002
257,0.002
258,0.002
259,0.002
260,0.002
261,0.002
262,0.002
263,0.001
264,0.001
265,0.001
266,0.001
267,0.11
268,0.145
269,0.166
270,0.15
271,0.003
272,0.004
273,0.004
274,0.004
275,0.004
276,0.004
277,0.003
278,0.002
279,0.003
280,0.003
281,0.16
282,0.202
283,0.214
284,0.223
285,0.229
286,0.23
287,0.21
288,0.227
289,0.002
290,0.002
291,0.002
292,0.214
293,0.212
294,0.218
295,0.21
296,0.215
297,0.223
298,0.215
299,0.227
300,0.216
301,0.207
302,0.21
303,0.223
304,0.001
305,0.001
306,0.223
307,0.121
308,0.182
309,0.182
310,0.197
311,0.174
312,0.186
313,0.163
314,0.001
315,0.001
316,0.007
317,0.007
318,0.007
319,0.007
320,0.007
321,0.007
322,0.007
323,0.007
324,0.007
325,0.007
326,0.206
327,0.221
328,0.197
329,0.23
330,0.219
331,0.196
332,0.214
333,0.201
334,0.18
335,0.216
336,0.221
337,0.218
338,0.003
339,0.003
340,0.003
341,0.003
342,0.001
343,0.001
344,0.224
345,0.137
346,0.219
347,0.221
348,0.226
349,0.001
350,0.001
351,0.002
352,0.001
353,0.002
354,0.002
355,0.002
356,0.002
357,0.002
358,0.002
359,0.002
360,0.002
361,0.002
362,0.002
363,0.002
364,0.002
365,0.002
366,0.002
367,0.002
368,0.001
369,0.001
370,0.157
371,0.173
372,0.18
373,0.177
374,0.16
375,0.003
376,0.003
377,0.004
378,0.004
