Node,SIR,Infected_sum
0,0.128,0
1,0.077,0
2,0.111,0
3,0.074,0
4,0.121,0
5,0.132,0
6,0.142,0
7,0.139,0
8,0.122,0
9,0.123,0
10,0.111,0
11,0.128,0
12,0.117,0
13,0.127,0
14,0.117,0
15,0.07,0
16,0.125,0
17,0.127,0
18,0.096,0
19,0.13,0
20,0.099,0
21,0.084,0
22,0.11,0
23,0.12,0
24,0.094,0
25,0.099,0
26,0.084,0
27,0.077,0
28,0.071,0
29,0.099,0
30,0.11,0
31,0.105,0
32,0.064,0
33,0.089,0
34,0.087,0
35,0.081,0
36,0.054,0
37,0.062,0
38,0.066,0
39,0.086,0
40,0.054,0
41,0.07,0
42,0.091,0
43,0.051,0
44,0.102,0
45,0.091,0
46,0.07,0
47,0.051,0
48,0.052,0
49,0.102,0
50,0.047,0
51,0.058,0
52,0.076,0
53,0.09,0
54,0.092,0
55,0.05,0
56,0.067,0
57,0.076,0
58,0.074,0
59,0.073,0
60,0.072,0
61,0.074,0
62,0.074,0
63,0.069,0
64,0.068,0
65,0.059,0
66,0.061,0
67,0.075,0
68,0.066,0
69,0.068,0
70,0.056,0
71,0.049,0
72,0.046,0
73,0.081,0
74,0.085,0
75,0.058,0
76,0.077,0
77,0.084,0
78,0.061,0
79,0.085,0
80,0.053,0
81,0.047,0
82,0.045,0
83,0.067,0
84,0.045,0
85,0.061,0
86,0.049,0
87,0.072,0
88,0.064,0
89,0.064,0
90,0.07,0
91,0.091,0
92,0.046,0
93,0.07,0
94,0.051,0
95,0.075,0
96,0.048,0
97,0.055,0
98,0.038,0
99,0.033,0
100,0.075,0
101,0.075,0
102,0.039,0
103,0.067,0
104,0.04,0
105,0.061,0
106,0.05,0
107,0.064,0
108,0.043,0
109,0.049,0
110,0.052,0
111,0.046,0
112,0.051,0
113,0.053,0
114,0.071,0
115,0.046,0
116,0.041,0
117,0.05,0
118,0.028,0
119,0.057,0
120,0.045,0
121,0.06,0
122,0.076,0
123,0.067,0
124,0.033,0
125,0.052,0
126,0.033,0
127,0.043,0
128,0.035,0
129,0.04,0
130,0.052,0
131,0.037,0
132,0.049,0
133,0.048,0
134,0.056,0
135,0.064,0
136,0.041,0
137,0.079,0
138,0.048,0
139,0.04,0
140,0.061,0
141,0.051,0
142,0.05,0
143,0.049,0
144,0.041,0
145,0.032,0
146,0.061,0
147,0.071,0
148,0.065,0
149,0.054,0
150,0.072,0
151,0.034,0
152,0.053,0
153,0.038,0
154,0.035,0
155,0.056,0
