Node,SIR,Infected_sum
3327,0.000321,0
3328,0.000394,0
3329,0.000361,0
3330,0.000323,0
3331,0.000348,0
3332,0.000428,0
3333,0.000323,0
3334,0.000349,0
3335,0.000344,0
3336,0.000408,0
3337,0.000322,0
3338,0.000359,0
3339,0.000332,0
3340,0.000334,0
3341,0.000344,0
3342,0.000331,0
3343,0.000358,0
3344,0.000385,0
3345,0.000293,0
3346,0.000347,0
3347,0.000401,0
3348,0.000338,0
3349,0.000357,0
3350,0.000352,0
3351,0.000381,0
3352,0.00032,0
3353,0.000329,0
3354,0.000319,0
3355,0.000341,0
3356,0.000329,0
3357,0.000325,0
3358,0.000314,0
3359,0.000346,0
3360,0.00036,0
3361,0.001035,0
3363,0.000741,0
3364,0.000336,0
3366,0.000247,0
3368,0.000328,0
3369,0.000287,0
3370,0.000301,0
3371,0.00035,0
3372,0.0004,0
3373,0.00125,0
3374,0.000341,0
3375,0.000267,0
3376,0.000291,0
3377,0.000307,0
3378,0.000304,0
3379,0.000452,0
3380,0.000303,0
3381,0.000304,0
3382,0.000361,0
3386,0.000248,0
3387,0.000273,0
3389,0.000395,0
3390,0.000391,0
3391,0.000332,0
3392,0.000443,0
3393,0.000443,0
3394,0.000358,0
3395,0.00037,0
3396,0.000367,0
3397,0.000366,0
3398,0.000328,0
3399,0.000353,0
3400,0.000408,0
3401,0.000373,0
3402,0.000339,0
3403,0.000365,0
3404,0.000388,0
3405,0.000347,0
3406,0.000315,0
3407,0.00062,0
3408,0.000324,0
3409,0.000325,0
3410,0.000349,0
3411,0.000411,0
3412,0.000343,0
3413,0.000364,0
3414,0.000329,0
3415,0.000342,0
3416,0.000682,0
3417,0.000338,0
3418,0.000354,0
3419,0.000358,0
3420,0.000325,0
3421,0.000359,0
3422,0.000374,0
3423,0.000355,0
3424,0.000355,0
3425,0.000363,0
3426,0.000384,0
3427,0.000391,0
3428,0.000392,0
3429,0.000389,0
3430,0.00051,0
3431,0.000391,0
3432,0.000366,0
3433,0.00031,0
3434,0.000565,0
3435,0.000342,0
3436,0.000465,0
3437,0.000496,0
3438,0.00031,0
3439,0.000314,0
3440,0.000332,0
3441,0.000354,0
3442,0.000327,0
3443,0.000326,0
3444,0.000351,0
3445,0.000366,0
3446,0.000384,0
3447,0.00042,0
3448,0.000476,0
3449,0.000504,0
3450,0.000298,0
3451,0.000736,0
3452,0.00053,0
3453,0.000382,0
3454,0.000421,0
3455,0.000597,0
3456,0.000378,0
3457,0.000436,0
3458,0.000831,0
3459,0.000272,0
3460,0.000269,0
3461,0.00028,0
3462,0.000285,0
3463,0.000279,0
3464,0.000277,0
3465,0.000275,0
3466,0.000292,0
3467,0.000288,0
3468,0.000316,0
3469,0.000305,0
3470,0.000903,0
3471,0.000284,0
3472,0.000295,0
3473,0.000328,0
3474,0.000274,0
3475,0.000307,0
3476,0.000311,0
3477,0.00027,0
3478,0.000502,0
3479,0.000276,0
3480,0.000274,0
3481,0.000283,0
3482,0.000356,0
3483,0.000294,0
3484,0.000269,0
3485,0.000282,0
3486,0.000277,0
3487,0.00028,0
3488,0.000283,0
3489,0.000285,0
3490,0.000319,0
3491,0.000319,0
3492,0.000325,0
3493,0.000368,0
3494,0.000367,0
3495,0.000366,0
3496,0.000292,0
3497,0.00033,0
3498,0.00029,0
3499,0.000284,0
3500,0.000271,0
3501,0.000349,0
3502,0.000247,0
3503,0.000248,0
3504,0.00161,0
3505,0.000329,0
3506,0.000437,0
3507,0.000352,0
3508,0.000374,0
3509,0.000596,0
3510,0.000416,0
3511,0.000315,0
3512,0.00036,0
3513,0.000337,0
3514,0.000342,0
3515,0.000346,0
3516,0.000323,0
3517,0.000423,0
3518,0.000727,0
3519,0.000322,0
3520,0.000329,0
3521,0.000349,0
3522,0.000334,0
3523,0.000315,0
3524,0.000306,0
3525,0.00037,0
3526,0.000513,0
3527,0.000335,0
3528,0.000349,0
3529,0.00031,0
3530,0.000342,0
3531,0.000327,0
3532,0.00043,0
3533,0.000303,0
3534,0.000354,0
3535,0.000387,0
3536,0.000337,0
3537,0.00031,0
3538,0.000307,0
3539,0.000306,0
3540,0.000333,0
3541,0.000373,0
3542,0.000324,0
3543,0.000331,0
3544,0.000315,0
3545,0.000386,0
3546,0.000311,0
3547,0.000387,0
3548,0.000483,0
3549,0.000347,0
3550,0.000336,0
3551,0.000319,0
3552,0.000335,0
3553,0.000926,0
3554,0.000406,0
3555,0.001872,0
3556,0.000501,0
3557,0.000345,0
3558,0.000357,0
3559,0.000585,0
3560,0.000388,0
3561,0.000362,0
3562,0.000402,0
3563,0.000372,0
3564,0.000325,0
3565,0.000368,0
3566,0.000332,0
3567,0.000347,0
3568,0.000354,0
3569,0.000334,0
3570,0.000324,0
3571,0.000334,0
3572,0.000377,0
3573,0.00048,0
3574,0.000343,0
3575,0.00035,0
3576,0.000299,0
3577,0.000295,0
3578,0.000307,0
3579,0.000313,0
3580,0.000364,0
3581,0.000319,0
3582,0.000303,0
3583,0.000342,0
3584,0.000509,0
3585,0.000329,0
3586,0.00032,0
3587,0.000432,0
3588,0.000459,0
3589,0.000342,0
3590,0.000312,0
3591,0.000353,0
3592,0.000309,0
3593,0.00032,0
3594,0.000303,0
3595,0.000314,0
3596,0.000332,0
3597,0.000319,0
3598,0.000312,0
3599,0.000305,0
3600,0.000313,0
3601,0.000496,0
3602,0.000547,0
3603,0.000385,0
3604,0.000614,0
3605,0.00035,0
3606,0.000341,0
3607,0.000341,0
3608,0.000447,0
3609,0.000306,0
3610,0.000854,0
3611,0.000309,0
3612,0.000298,0
3613,0.000314,0
3614,0.000295,0
3615,0.000703,0
3616,0.000332,0
3617,0.000326,0
3618,0.000325,0
3619,0.000285,0
3620,0.000318,0
3621,0.00029,0
3622,0.000311,0
3623,0.000336,0
3624,0.000309,0
3625,0.000284,0
3629,0.000347,0
3630,0.000317,0
3631,0.000321,0
3632,0.000445,0
3633,0.000371,0
3634,0.000321,0
3635,0.000373,0
3636,0.00033,0
3637,0.000293,0
3638,0.000272,0
3639,0.000557,0
3640,0.000273,0
3641,0.000293,0
3642,0.00048,0
3643,0.000259,0
3644,0.000278,0
3645,0.000262,0
3646,0.000269,0
3647,0.000269,0
3648,0.000247,0
3649,0.0003,0
3650,0.001014,0
3651,0.000308,0
3652,0.000281,0
3653,0.000317,0
3654,0.000308,0
3655,0.000314,0
3656,0.000433,0
3657,0.000303,0
3658,0.000299,0
3659,0.000292,0
3660,0.000319,0
3661,0.000285,0
3662,0.000296,0
3663,0.000301,0
3664,0.000296,0
3665,0.000407,0
3666,0.000288,0
3667,0.000548,0
3668,0.000295,0
3669,0.000647,0
3670,0.000288,0
3671,0.000421,0
3672,0.000295,0
3673,0.000298,0
3674,0.000285,0
3675,0.000287,0
3676,0.000327,0
3677,0.000303,0
3678,0.000304,0
3679,0.000285,0
3680,0.000294,0
3681,0.000308,0
3682,0.000307,0
3683,0.000332,0
3684,0.00033,0
3685,0.000288,0
3686,0.000285,0
3687,0.000284,0
3688,0.000305,0
3689,0.000294,0
3690,0.000305,0
3691,0.000295,0
3692,0.000281,0
3693,0.000299,0
3694,0.000309,0
3695,0.000295,0
3696,0.000314,0
3697,0.000294,0
3698,0.000286,0
3699,0.000321,0
3700,0.000305,0
3701,0.000301,0
3702,0.000273,0
3703,0.0003,0
3704,0.000299,0
3705,0.000305,0
3706,0.000298,0
3707,0.00029,0
3708,0.000287,0
3709,0.000288,0
3710,0.000296,0
3711,0.000367,0
3712,0.000298,0
3713,0.000291,0
3725,0.000261,0
3737,0.00025,0
3738,0.000249,0
3739,0.000262,0
3740,0.000267,0
3741,0.000279,0
3742,0.000308,0
3743,0.00033,0
3744,0.000268,0
3745,0.000362,0
3746,0.000261,0
3748,0.000268,0
3750,0.000536,0
3751,0.000257,0
3753,0.000292,0
3754,0.000342,0
3755,0.00026,0
3756,0.00025,0
3757,0.000287,0
3758,0.000256,0
3759,0.00032,0
3760,0.000256,0
3761,0.000333,0
3762,0.000364,0
3763,0.000306,0
3764,0.000311,0
3765,0.00033,0
3766,0.000587,0
3767,0.000337,0
3768,0.000285,0
3769,0.000313,0
3770,0.000642,0
3771,0.000494,0
3772,0.0006,0
3773,0.000498,0
3774,0.000538,0
3775,0.000318,0
3776,0.000589,0
3777,0.000795,0
3778,0.00038,0
3779,0.000371,0
3780,0.000387,0
3781,0.000289,0
3782,0.000374,0
3783,0.000308,0
3784,0.000357,0
3785,0.000362,0
3786,0.00029,0
3787,0.000381,0
3788,0.000286,0
3789,0.000332,0
3790,0.000361,0
3791,0.000291,0
3792,0.000301,0
3793,0.000302,0
3794,0.000302,0
3795,0.000316,0
3796,0.000284,0
3797,0.000351,0
3798,0.000322,0
3799,0.00039,0
3801,0.000325,0
3802,0.000311,0
3803,0.002675,0
3804,0.000678,0
3805,0.000371,0
3806,0.001077,0
3807,0.00086,0
3808,0.000819,0
3809,0.00066,0
3810,0.001668,0
3811,0.001136,0
3812,0.000306,0
3813,0.000535,0
3814,0.000281,0
3815,0.000306,0
3816,0.000918,0
3817,0.000316,0
3820,0.000314,0
3821,0.000688,0
3822,0.001319,0
3823,0.000288,0
3825,0.000351,0
3826,0.000887,0
3829,0.000372,0
3830,0.000372,0
3831,0.001998,0
3832,0.001179,0
3833,0.000358,0
3834,0.000373,0
3835,0.000347,0
3836,0.000396,0
3837,0.000301,0
3838,0.000348,0
3839,0.000457,0
3840,0.000718,0
3841,0.000286,0
3842,0.000304,0
3843,0.00033,0
3844,0.000326,0
3845,0.000311,0
3846,0.000435,0
3847,0.000297,0
3848,0.00032,0
3849,0.000312,0
3850,0.000287,0
3851,0.000306,0
3852,0.000645,0
3853,0.000259,0
3854,0.000303,0
3855,0.000424,0
3856,0.000252,0
3857,0.000248,0
3858,0.000347,0
3859,0.000252,0
3860,0.000272,0
3861,0.0009,0
3862,0.000281,0
3863,0.000319,0
3864,0.000574,0
3865,0.00028,0
3866,0.000318,0
3867,0.00029,0
3868,0.000305,0
3869,0.00047,0
3870,0.000311,0
3871,0.00047,0
3872,0.00046,0
3873,0.000304,0
3874,0.000303,0
3875,0.000344,0
3876,0.000337,0
3877,0.000317,0
3878,0.00062,0
3879,0.000357,0
3880,0.000786,0
3881,0.000298,0
3882,0.00032,0
3883,0.00033,0
3884,0.000912,0
3885,0.000353,0
3886,0.00047,0
3887,0.00028,0
3888,0.000302,0
3889,0.0003,0
3890,0.000715,0
3891,0.000372,0
3892,0.000437,0
3893,0.000557,0
3894,0.000393,0
3895,0.000475,0
3896,0.000353,0
3897,0.000369,0
3898,0.000368,0
3899,0.000359,0
3900,0.000393,0
3901,0.000359,0
3902,0.000396,0
3903,0.000431,0
3904,0.000349,0
3905,0.000395,0
3906,0.00034,0
3907,0.000387,0
3908,0.000387,0
3909,0.000409,0
3910,0.00038,0
3911,0.000376,0
3912,0.000396,0
3913,0.000402,0
3914,0.001247,0
3915,0.000412,0
3916,0.000528,0
3917,0.000376,0
3918,0.00039,0
3919,0.000427,0
3920,0.000457,0
3921,0.000347,0
3922,0.000336,0
3923,0.000393,0
3924,0.000356,0
3925,0.000364,0
3926,0.000362,0
3927,0.000376,0
3928,0.000406,0
3929,0.000378,0
3930,0.000354,0
3931,0.000392,0
3932,0.000399,0
3933,0.000419,0
3934,0.000462,0
3935,0.000389,0
3936,0.000393,0
3937,0.000378,0
3938,0.000369,0
3939,0.000329,0
3940,0.000355,0
3941,0.000374,0
3942,0.000543,0
3943,0.000395,0
3944,0.000367,0
3945,0.000358,0
3946,0.000518,0
3947,0.000362,0
3948,0.000368,0
3949,0.000358,0
3950,0.000394,0
3951,0.000456,0
3952,0.000373,0
3953,0.000353,0
3954,0.000513,0
3955,0.00037,0
3956,0.000494,0
3957,0.000382,0
3958,0.000435,0
3959,0.000768,0
3960,0.000436,0
3961,0.000395,0
3962,0.000439,0
3963,0.000381,0
3964,0.000385,0
3965,0.000379,0
3966,0.000399,0
3967,0.000549,0
3968,0.000391,0
3969,0.000448,0
3970,0.000594,0
3971,0.000367,0
3972,0.000405,0
3973,0.000364,0
3974,0.000365,0
3975,0.000369,0
3976,0.000446,0
3977,0.000441,0
3978,0.000417,0
3979,0.00038,0
3980,0.000341,0
3981,0.00039,0
3982,0.000353,0
3983,0.000397,0
3984,0.000424,0
3985,0.000428,0
3986,0.000427,0
3987,0.000409,0
3988,0.000398,0
3989,0.000402,0
3990,0.000386,0
3991,0.000373,0
3992,0.000448,0
3993,0.00041,0
3994,0.000437,0
3995,0.000429,0
3996,0.00039,0
3997,0.000395,0
3998,0.00046,0
3999,0.000392,0
4000,0.000354,0
4001,0.000403,0
4002,0.00036,0
4003,0.00037,0
4004,0.000378,0
4006,0.000406,0
4007,0.000434,0
4008,0.000485,0
4009,0.000457,0
4010,0.00036,0
4011,0.000399,0
4012,0.000368,0
4013,0.000709,0
4014,0.000442,0
4015,0.000616,0
4016,0.001355,0
4017,0.000433,0
4018,0.000371,0
4019,0.000293,0
4020,0.000301,0
4021,0.00028,0
4022,0.00031,0
4023,0.000291,0
4024,0.000287,0
4025,0.000406,0
4026,0.000302,0
4027,0.000298,0
4028,0.000311,0
4029,0.000636,0
4030,0.000288,0
4031,0.000338,0
4032,0.00029,0
4033,0.000277,0
4034,0.000381,0
4035,0.000322,0
4036,0.000293,0
4037,0.00028,0
4038,0.000317,0
4039,0.000272,0
4040,0.000301,0
4041,0.000313,0
4042,0.000313,0
4043,0.000425,0
4044,0.000292,0
4045,0.0003,0
4046,0.000761,0
4047,0.000334,0
4048,0.000452,0
4049,0.000304,0
4050,0.000265,0
4051,0.00032,0
4052,0.000288,0
4053,0.000588,0
4054,0.000283,0
4055,0.000275,0
4056,0.000299,0
4057,0.000301,0
4058,0.000268,0
4059,0.000255,0
4060,0.000263,0
4061,0.000267,0
4062,0.00054,0
4063,0.00038,0
4064,0.000287,0
4065,0.000293,0
4066,0.000266,0
4067,0.000258,0
4068,0.000266,0
4069,0.000321,0
4070,0.000265,0
4071,0.000316,0
4072,0.000312,0
4073,0.000266,0
4074,0.000262,0
4075,0.000262,0
4076,0.000269,0
4077,0.000256,0
4078,0.000261,0
4079,0.000379,0
4080,0.000405,0
4081,0.00029,0
4082,0.000259,0
4083,0.000284,0
4084,0.000261,0
4085,0.000274,0
4086,0.000271,0
4087,0.000262,0
4088,0.000273,0
4089,0.000265,0
4090,0.000262,0
4091,0.000259,0
4092,0.000261,0
4093,0.000261,0
4094,0.000263,0
4095,0.000642,0
4096,0.000283,0
4097,0.000282,0
4098,0.000284,0
4099,0.000317,0
4100,0.000271,0
4101,0.000284,0
4102,0.000389,0
4103,0.000672,0
4104,0.000269,0
4105,0.000327,0
4106,0.0003,0
4107,0.000743,0
4108,0.000662,0
4109,0.000289,0
4110,0.000277,0
4111,0.000272,0
4112,0.000272,0
4113,0.000292,0
4114,0.000306,0
4115,0.000267,0
4116,0.00028,0
4117,0.000455,0
4118,0.000284,0
4119,0.000312,0
4120,0.000748,0
4121,0.000357,0
4122,0.000357,0
4123,0.000336,0
4124,0.000325,0
4125,0.000331,0
4126,0.00036,0
4127,0.000309,0
4128,0.000355,0
4129,0.000449,0
4130,0.000402,0
4131,0.000343,0
4132,0.000349,0
4133,0.000326,0
4134,0.000353,0
4135,0.000348,0
4136,0.000323,0
4137,0.00034,0
4138,0.000347,0
4139,0.000343,0
4140,0.000341,0
4141,0.00033,0
4142,0.000354,0
4143,0.000332,0
4144,0.000334,0
4145,0.000356,0
4146,0.000342,0
4147,0.000321,0
4148,0.000316,0
4149,0.00035,0
4150,0.00034,0
4151,0.000337,0
4152,0.000341,0
4153,0.000342,0
4154,0.000355,0
4155,0.00037,0
4156,0.00033,0
4157,0.000342,0
4158,0.000342,0
4159,0.000374,0
4160,0.000375,0
4161,0.000344,0
4162,0.000339,0
4163,0.000368,0
4164,0.000359,0
4165,0.000348,0
4166,0.00032,0
4167,0.000332,0
4168,0.000325,0
4169,0.000345,0
4170,0.00033,0
4171,0.00035,0
4172,0.000324,0
4173,0.000325,0
4174,0.000349,0
4175,0.000328,0
4176,0.00032,0
4177,0.000332,0
4178,0.000409,0
4179,0.00033,0
4180,0.000362,0
4181,0.000314,0
4182,0.000336,0
4183,0.000367,0
4184,0.000343,0
4185,0.000365,0
4186,0.000327,0
4187,0.000354,0
4188,0.00034,0
4189,0.000325,0
4190,0.000334,0
4191,0.000336,0
4192,0.000337,0
4193,0.000363,0
4194,0.000544,0
4195,0.000319,0
4196,0.000355,0
4197,0.000326,0
4198,0.000344,0
4199,0.000316,0
4200,0.000335,0
4201,0.000463,0
4202,0.000342,0
4203,0.000352,0
4204,0.000318,0
4205,0.000458,0
4206,0.000482,0
4207,0.000331,0
4208,0.000345,0
4209,0.000347,0
4210,0.000362,0
4211,0.000305,0
4212,0.000398,0
4213,0.000345,0
4214,0.000352,0
4215,0.000331,0
4216,0.000359,0
4217,0.000347,0
4218,0.000348,0
4219,0.000332,0
4220,0.000334,0
4221,0.000339,0
4222,0.000359,0
4223,0.000563,0
4224,0.000334,0
4225,0.000342,0
4226,0.000371,0
4227,0.000353,0
4228,0.000335,0
4229,0.000363,0
4230,0.000427,0
4231,0.000352,0
4232,0.000367,0
4233,0.000451,0
4234,0.000421,0
4235,0.00034,0
4236,0.000349,0
4237,0.000347,0
4238,0.000336,0
4239,0.000496,0
4240,0.000355,0
4241,0.000363,0
4242,0.00025,0
4243,0.000965,0
4244,0.000345,0
4245,0.000616,0
4246,0.000717,0
4247,0.000801,0
4248,0.000411,0
4249,0.001821,0
4250,0.000362,0
4251,0.000363,0
4252,0.000376,0
4253,0.000641,0
4254,0.000573,0
4255,0.000411,0
4256,0.001229,0
4257,0.000661,0
4258,0.000422,0
4259,0.000459,0
4260,0.00034,0
4261,0.000334,0
4262,0.00059,0
4263,0.001056,0
4264,0.000361,0
4265,0.000331,0
4266,0.000361,0
4267,0.000409,0
4268,0.000406,0
4269,0.00039,0
4270,0.000498,0
4271,0.000465,0
4272,0.0003,0
4273,0.000657,0
4274,0.000354,0
4275,0.000342,0
4276,0.000414,0
4277,0.000368,0
4278,0.000345,0
4279,0.000367,0
4280,0.000351,0
4281,0.000358,0
4282,0.000375,0
4283,0.000363,0
4284,0.000352,0
4285,0.000371,0
4286,0.00036,0
4287,0.000392,0
4288,0.00042,0
4289,0.000367,0
4290,0.00033,0
4291,0.000375,0
4292,0.000406,0
4293,0.000325,0
4294,0.000362,0
4295,0.00036,0
4296,0.000377,0
4297,0.000342,0
4298,0.000265,0
4299,0.000444,0
4300,0.000392,0
4301,0.00026,0
4302,0.000284,0
4303,0.000267,0
4304,0.000328,0
4305,0.00043,0
4306,0.00059,0
4307,0.000263,0
4308,0.000274,0
4309,0.000292,0
4310,0.000345,0
4311,0.000352,0
4312,0.000535,0
4313,0.000583,0
4314,0.000312,0
4315,0.001151,0
4316,0.000325,0
4317,0.000312,0
4318,0.000336,0
4319,0.000328,0
4320,0.000306,0
4321,0.000477,0
4322,0.000295,0
4323,0.000315,0
4324,0.000306,0
4325,0.000318,0
4326,0.000617,0
4327,0.000332,0
4328,0.000419,0
4329,0.000305,0
4332,0.000261,0
4333,0.000279,0
4334,0.000264,0
4335,0.000298,0
4336,0.000271,0
4337,0.000267,0
4338,0.000264,0
4339,0.000264,0
4340,0.000268,0
4341,0.000265,0
4342,0.000264,0
4343,0.000251,0
4344,0.00026,0
4345,0.000261,0
4346,0.000446,0
4347,0.00028,0
4348,0.000289,0
4349,0.000402,0
4350,0.000265,0
4351,0.000261,0
4352,0.000268,0
4353,0.000264,0
4354,0.000396,0
4355,0.000287,0
4356,0.00049,0
4357,0.000339,0
4358,0.000414,0
4359,0.000334,0
4360,0.000699,0
4361,0.000289,0
4362,0.000331,0
4363,0.00028,0
4364,0.000283,0
4365,0.000323,0
4366,0.000295,0
4367,0.000291,0
4368,0.00029,0
4369,0.000405,0
4370,0.000306,0
4371,0.000393,0
4372,0.00029,0
4373,0.000652,0
4374,0.000331,0
4375,0.000334,0
4376,0.000296,0
4377,0.000293,0
4378,0.000273,0
4379,0.000282,0
4380,0.000292,0
4381,0.000439,0
4382,0.000291,0
4383,0.000537,0
4384,0.00031,0
4385,0.000884,0
4386,0.000371,0
4387,0.00037,0
4388,0.000295,0
4389,0.000386,0
4390,0.000298,0
4391,0.000303,0
4392,0.000301,0
4393,0.000867,0
4394,0.000368,0
4395,0.000278,0
4396,0.00025,0
4397,0.000251,0
4398,0.000318,0
4399,0.00041,0
4400,0.00039,0
4401,0.000502,0
4402,0.000464,0
4403,0.000402,0
4404,0.000819,0
4405,0.000437,0
4406,0.000416,0
4407,0.000388,0
